,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
293,"[44, 44, 21, 50]","[1, 0, 0]",23,"[0, 1, 0, 0, 0, 0]",6.4312,0.9997,-0.526,0.03,0.0,True,0.0004,0.06
294,"[44, 44, 21, 15]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.07,1.0,-0.66,0.0,0.0,True,0.0,0.0
295,"[44, 44, 21, 33]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.2,1.0,-0.538,0.01,0.0,True,0.0,0.0
296,"[44, 44, 21, 51]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.39,1.0,-0.605,0.01,0.0,True,0.0,0.0
297,"[44, 44, 22, 13]","[1, 0, 0]",23,"[0, 1, 0, 0, 0, 0]",6.0858,1.0002,-0.765,0.0,0.0,True,0.0,0.0
298,"[44, 44, 22, 31]","[1, 0, 0]",23,"[0, 1, 0, 0, 0, 0]",6.1,1.0,-0.623,0.0,0.0,True,0.0,0.0
299,"[44, 44, 22, 49]","[1, 0, 0]",23,"[0, 1, 0, 0, 0, 0]",6.314,0.9989,-0.347,0.0,0.0,True,0.0001,0.01
300,"[44, 44, 22, 14]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",5.9958,1.0,-0.896,0.01,0.0,True,0.0,0.0
301,"[44, 44, 22, 32]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.0797,1.0002,-0.708,0.01,0.0,True,0.0,0.0
302,"[44, 44, 22, 50]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.29,1.0,-0.604,0.01,0.0,True,0.0,0.0
303,"[44, 44, 22, 15]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",5.7232,1.1477,-0.612,0.0,0.0,True,0.0,0.0
304,"[44, 44, 22, 33]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",5.8325,1.1516,-0.454,0.0,0.0,True,0.0,0.0
305,"[44, 44, 22, 51]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",6.0283,1.1435,-0.457,0.0,0.0,True,0.0,0.0
